code,name,chapter,description,inclusions,source_datasets
N73,Other female pelvic inflammatory diseases,Diseases of the genitourinary system," Deep pelvic infections, including Pelvic Inflammatory Disease (PID) that has spread to the lining of the uterus or surrounding pelvic tissues, risking long-term internal scarring if untreated.",,National Scotland
N80,Endometriosis,Diseases of the genitourinary system,"A painful, chronic gynecological condition.Tissue that behaves exactly like the inner lining of the womb (the endometrium) abnormally grows outside the uterus—attaching to the ovaries, fallopian tubes, or the outer wall of the intestines. Every month, this displaced tissue responds to hormones by thickening and bleeding, but because the blood has nowhere to escape, it causes severe inflammation, internal bleeding, and dense webs of painful scar tissue (adhesions).",,National Scotland
N81,Female genital prolapse,Diseases of the genitourinary system,"Structural sagging of the pelvic organs.The pelvic floor muscles and ligaments stretch, weaken, and fail to provide support. This causes the uterus (uterine prolapse), bladder (cystocele), or rectum to physically drop down and bulge into the vaginal canal.",,National Scotland
N83,"Noninflammatory disorders of ovary, fallopian tube and broad ligament",Diseases of the genitourinary system,"Structural anomalies, most frequently utilized to track standard ovarian cysts (fluid-filled sacs that grow on the ovaries) or fallopian tube narrowing without an active bacterial infection.",,National Scotland
N84,Polyp of female genital tract,Diseases of the genitourinary system,"Noncancerous (benign) finger-like growths that develop along the lining of the female reproductive tract. This most commonly tracks cervical polyps or endometrial polyps growing inside the womb, which can cause irregular spotting.",,National Scotland
N85,"Other noninflammatory disorders of uterus, except cervix",Diseases of the genitourinary system,"Structural uterine conditions, including endometrial hyperplasia (an abnormal thickening of the womb lining, often caused by an excess of estrogen) or a shifted uterus.",,National Scotland
N87,Dysplasia of cervix uteri,Diseases of the genitourinary system,"Cervical Dysplasia. Abnormal, precancerous cells develop on the surface lining of the cervix, typically triggered by chronic exposure to certain strains of the Human Papillomavirus (HPV). It causes zero physical symptoms and is picked up during routine Pap smear screenings. It is categorized by severity levels (CIN 1, 2, or 3) to guide preventative care.",,National Scotland
N88,Other noninflammatory disorders of cervix uteri,Diseases of the genitourinary system,"Structural failures of the cervix, such as an incompetent cervix (where the cervix weakens and opens too early during pregnancy) or deep scarring from a past medical procedure.",,National Scotland
N89,Other noninflammatory disorders of vagina,Diseases of the genitourinary system,"Non-infectious vaginal wall anomalies, such as localized cysts or structural narrowing (strictures).",,National Scotland
N90,Other noninflammatory disorders of vulva and perineum,Diseases of the genitourinary system,"Conditions affecting the external female genitalia, including chronic skin thinning (lichen sclerosus) or cysts.",,National Scotland
N92,"Excessive, frequent and irregular menstruation",Diseases of the genitourinary system," A broad diagnostic family for abnormal uterine bleeding, including menorrhagia (abnormally heavy or prolonged periods that can lead to anemia) or periods that occur too frequently.",,National Scotland
N93,Other abnormal uterine and vaginal bleeding,Diseases of the genitourinary system,"Unexplained spotting or bleeding between periods, or bleeding that occurs after sexual intercourse, before a definitive underlying cause (like a polyp or fibroid) can be diagnosed.",,National Scotland
N94,Pain and other conditions associated with female genital organs and menstrual cycle,Diseases of the genitourinary system,"Tracks severe menstrual-associated symptoms, heavily utilized for dysmenorrhea (debilitatingly painful period cramps) or severe Mittelschmerz (sharp pain felt on one side during ovulation).",,National Scotland
N95,Menopausal and other perimenopausal disorders,Diseases of the genitourinary system," Clinically monitors the physical transitions of menopause or perimenopause. It covers the natural drop in hormone levels and tracks symptoms like severe hot flashes, night sweats, sleep disruptions, and premature menopause.",,National Scotland
N97,Female infertility,Diseases of the genitourinary system," The clinical classification utilized when a woman is unable to conceive after a year or more of regular, unprotected intercourse, tracking underlying physiological blocks like fallopian tube obstructions or ovulatory failure.","inability to achieve a pregnancy | sterility, female NOS",National Scotland
N99,"Postprocedural disorders of genitourinary system, not elsewhere classified",Diseases of the genitourinary system,"An administrative category used when a patient develops a kidney, bladder, or reproductive tract complication as a direct consequence of a medical procedure or surgery (such as an accidental injury to the bladder during a hysterectomy or a pelvic infection following a procedure)",,National Scotland
Q21,Congenital malformations of cardiac septa,"Congenital malformations, deformations and chromosomal abnormalities","A congenital heart defect where a baby is born with a structural hole in the internal wall (septum) that separates the chambers of the heart. This master code tracks conditions like an Atrial Septal Defect (ASD) or a Ventricular Septal Defect (VSD). Because there is a hole in the dividing wall, oxygen-rich blood mixes abnormally with oxygen-poor blood. This forces the right side of the heart to pump extra volume under high pressure, which can stretch out the heart muscle and overload the blood vessels in the lungs over time.",,National Scotland
Z958,Presence of other cardiac and vascular implants and grafts,Factors influencing health status and contact with health services,"An administrative ""status code"" used to document that a patient has a historically implanted medical device or a surgical bypass graft currently inside their cardiovascular system. It notes the ongoing presence of items like a custom vascular stent, a mechanical heart valve, or a past coronary bypass line during routine medical encounters.",Presence of intravascular prosthesis NEC | Status following peripheral angioplasty NOS,Tayside and Fife
